All,הכל
None,ללא
"Allowed Scopes","טווח נתונים אפשריים"
"You need more permissions to apply some of the rule updates.","אתה צריך הרשאות נוספות כדי ליישם חלק מהעדכונים."
"You need more permissions to access website ""%1"".","אתה צריך הרשאה יותר גבוהה כדי לצפות באתר ""1%""."
"Role Scopes","טווחי תפקיד"
Custom,מותאם
"Read Details","קרא פרטים"
"Mark as Read","סמן כנקרא"
"Are you sure?","האם אתה בטוח?"
Remove,הסר
"Messages Inbox","הודעות בתיבת הדואר הנכנס"
"You have %1 new system messages","יש לך הודעות מערכת חדשות %1"
"You have %1 new system message","יש לך הודעה מערכת חדשה %1"
"Incoming Message","הודעה חדשה"
close,סגור
Notifications,התראות
"The message has been marked as Read.","ההודעה סומנה כהודעה שנקראה."
"We couldn't mark the notification as Read because of an error.","אנחנו לא יכול לסמן את ההודעה כהודעה שנקראה עקב שגיאה."
"Please select messages.","נא בחר הודעות."
"A total of %1 record(s) have been marked as Read.","סך של %1 רשומות סומנו כנקראו."
"Total of %1 record(s) have been removed.","סה""כ %1 רשומות הוסרו."
"We couldn't remove the messages because of an error.","אנחנו לא יכולים להסיר את ההודעות עקב שגיאה."
"The message has been removed.","ההודעה הוסרה."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","סיימת לטפל בכל התראות המערכת האחרונות. רענן את העמוד כדי לנקות את ההתראות."
"1 Hour","שעה אחת"
"2 Hours",שעתיים
"6 Hours","6 שעות"
"12 Hours","12 שעות"
"24 Hours","24 שעות"
critical,קריטי
major,משמעותי
minor,מינורי
notice,"שים לב"
"Wrong message type","סוג ההודעה אינו נכון"
"Wrong notification ID specified.","התראה לא נכונה של הID המצוין."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} אינו מומלץ לשימוש בסביבת פרודקשן להכרזה על כתובת בסיס לא-מאובטחת /כתובת בסיס מאבטחת. מומלץ מאוד לשנות ערך זה ב<a href=""%1""> הגדרות</a> מג'נטו."
"One or more of the Cache Types are invalidated: %1. ","אחד או יותר מסוגי Cache תוקפם: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","בבקשה ללכת <a href=""%1""> ניהול cacge</a> ולרענן את סוגי הcache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","לא הצלחנו לסינכרון קובץ מדיה אחד או יותר. נא עיין בקובץ הlog לקבלת פרטים."
"Synchronization of media storages has been completed.","סינכרון של תיקיית מדיה הושלמה."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","שרת האינטרנט שלך הוגדר באופן שגוי ומאפשר גישה בלתי מורשית לקבצים רגישים. ' ' אנא פנה לחברת האחסון שלך."
"System Messages:","הודעות מערכת:"
"Critical System Messages","הודעות מערכת קריטיים"
"Major System Messages","הודעות מערכת משעותיות"
"System messages","הודעות מערכת"
Close,סגור
"See All (","ראה הכל ("
" unread)"," לא נקרא)"
"Show Toolbar","הצג את סרגל הכלים"
"Show List","הצג רשימה"
"Use HTTPS to Get Feed","השתמש ב- HTTPS כדי לקבל הזנה"
"Update Frequency","תדירות עדכון"
"Last Update","עודכן לאחרונה"
Severity,חומרה
"Date Added","תאריך הוספה"
Message,הודעה
Actions,פעולות
"Manage Shopping Cart","נהל את עגלת הקניות"
"Create Order","צור הזמנה"
Back,חזור
"Add Products","הוסף מוצרים"
"Update Items and Quantities","עדכון פריטים ומלאים"
"Are you sure you want to clear your cart?","האם ברצונך לרוקן את העגלה שלך?"
"Clear my shopping cart","רוקן את עגלת הקניות שלי"
"Add selections to my cart","הוסף מוצרים שנבחרו לעגלה שלי"
Cancel,ביטול
"Shopping Cart for %1 in %2","עגלת קניות עבור %1 ב %2"
"Select products you want to buy","בחר מוצרים שאתה רוצה לקנות"
Product,מוצר
Price,מחיר
Quantity,כמות
"Products in the Comparison List (%1)","מוצרים ברשימת השוואה (%1)"
"Last ordered items (%1)","פריטים אחרון שהוזמן (%1)"
Products,מוצרים
ID,מזהה
SKU,מק''ט
"Recently Compared Products (%1)","השוואת מוצרים לאחרונה (%1)"
"Recently Viewed Products (%1)","מוצרים שנצפו לאחרונה (%1)"
"Add to Shopping Cart by SKU","להוסיף לסל באמצעות ברקוד"
"Add to Shopping Cart","הוסף לעגלת הקניות"
"Wish List (%1)","מועדפים (%1)"
Apply,החל
Configure,הגדר
"Add to Order by SKU","להוסיף לצוות, לפי ברקוד"
"Add to Order","הוסף להזמנה"
"Add Products to Order","להוסיף מוצרים להזמנה"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span>מוצרים <span id=""sku-attention-num"">%1</span> דורשים תשומת לב.</span>"
"Remove All","הסר הכל"
"Only %1%2%3 left in stock","רק %1%2%3 נשאר במלאי"
"You can buy up to %1 of these per purchase.","יש באפשרותך לקנות לפחות %1 לרכישה הנוכחית."
"You must buy at least %1 of these per purchase.","אתה חייב לקנות לפחות %1 מזה ברכישה הנוכחית."
"Specify the product's options.","ציין את אפשרויות של המוצר."
"Alert me when this item is available.","שלח לי התראה כאשר פריט זה יהיה זמין."
"Shopping cart management is disabled for this customer.","ניהול עגלת הקניות אינה זמינה עבור לקוח זה."
Customers,לקוחות
"Shopping Cart","עגלת קניות"
"You do not have access to this.","אין לך גישה."
"An error has occurred. See error log for details.","אירעה שגיאה. ראה log שגיאות לפרטים."
"You cannot configure a product.","אתה לא יכול להגדיר את המוצר."
"You removed the items.","הסרת את הפריטים."
"You removed the item.","הסרת את הפריט."
"You added %1 to your shopping cart.","%1 נוסף לעגלת הקניות."
"You cannot add a product.","אינך יכול להוסיף מוצר."
"Order by SKU","הזמנה באמצעות ברקוד"
"The SKU was not found in the catalog.","המק""ט לא נמצא בקטלוג."
"Availability: Out of stock.","זמינות: אזל מהמלאי."
